id,name,unit,data_type,description,createdAt,updatedAt,code,coverage,timespan,datasetId,sourceId,shortUnit,columnOrder,originalMetadata
58111,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:43,1 332 3 22 1,,,1483,12793,\N,0,\N
58137,Deaths - H influenzae type B meningitis - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:43,1 334 3 22 1,,,1485,12795,\N,0,\N
58150,Deaths - Meningococcal meningitis - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:44,1 335 3 22 1,,,1486,12796,\N,0,\N
58189,Deaths - Diphtheria - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:44,1 338 3 22 1,,,1566,12876,\N,0,\N
58198,Deaths - Whooping cough - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:45,1 339 3 1 1,,,1567,12877,\N,0,\N
58199,Deaths - Whooping cough - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:45,1 339 3 1 3,,,1567,12877,\N,0,\N
58200,Deaths - Whooping cough - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:45,1 339 3 22 1,,,1567,12877,\N,0,\N
58222,Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:11,1 641 3 1 1,,,1433,12743,\N,0,\N
58223,Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:11,1 641 3 1 3,,,1433,12743,\N,0,\N
58393,Deaths - Motor vehicle road injuries - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/23/19 23:26,1 693 3 22 1,,,1572,12882,\N,0,\N
58406,Deaths - Other road injuries - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:35,1 694 3 22 1,,,1573,12883,\N,0,\N
58456,Deaths - Drowning - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 1 1,,,1577,12887,\N,0,\N
58457,Deaths - Drowning - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 1 3,,,1577,12887,\N,0,\N
58459,Deaths - Drowning - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 22 3,,,1577,12887,\N,0,\N
58460,Deaths - Drowning - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 23 1,,,1577,12887,\N,0,\N
58461,Deaths - Drowning - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 23 3,,,1577,12887,\N,0,\N
58462,Deaths - Drowning - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 24 1,,,1577,12887,\N,0,\N
58463,Deaths - Drowning - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 24 3,,,1577,12887,\N,0,\N
58464,Deaths - Drowning - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 25 1,,,1577,12887,\N,0,\N
58465,Deaths - Drowning - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 25 3,,,1577,12887,\N,0,\N
58466,Deaths - Drowning - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:37,1 698 3 26 1,,,1577,12887,\N,0,\N
58492,Deaths - Non-communicable diseases - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:59,1 409 3 1 3,,,1580,12890,\N,0,\N
58493,Deaths - Tetanus - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:45,1 340 3 22 1,,,1568,12878,\N,0,\N
58503,Deaths - Tetanus - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:45,1 340 3 27 3,,,1568,12878,\N,0,\N
58504,Deaths - Measles - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:45,1 341 3 1 1,,,1581,12891,\N,0,\N
58505,Deaths - Measles - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:45,1 341 3 1 3,,,1581,12891,\N,0,\N
58506,Deaths - Measles - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:45,1 341 3 22 1,,,1581,12891,\N,0,\N
58521,Deaths - Alzheimer disease and other dementias - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:47,1 543 3 24 1,,,1583,12893,\N,0,\N
58523,Deaths - Alzheimer disease and other dementias - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:47,1 543 3 25 1,,,1583,12893,\N,0,\N
58525,Deaths - Alzheimer disease and other dementias - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:47,1 543 3 26 1,,,1583,12893,\N,0,\N
58527,Deaths - Alzheimer disease and other dementias - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:47,1 543 3 27 3,,,1583,12893,\N,0,\N
58534,Deaths - Parkinson disease - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:47,1 544 3 24 1,,,1584,12894,\N,0,\N
58536,Deaths - Parkinson disease - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:47,1 544 3 25 1,,,1584,12894,\N,0,\N
58538,Deaths - Parkinson disease - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:47,1 544 3 26 1,,,1584,12894,\N,0,\N
58591,Deaths - Mental and substance use disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 558 3 22 1,,,1589,12899,\N,0,\N
58592,Deaths - Mental and substance use disorders - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 558 3 22 3,,,1589,12899,\N,0,\N
58594,Deaths - Mental and substance use disorders - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 558 3 23 3,,,1589,12899,\N,0,\N
58596,Deaths - Mental and substance use disorders - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 558 3 24 3,,,1589,12899,\N,0,\N
58601,Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 558 3 27 3,,,1589,12899,\N,0,\N
58602,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 560 3 22 1,,,1590,12900,\N,0,\N
58604,Deaths - Alcohol use disorders - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 560 3 24 1,,,1590,12900,\N,0,\N
58606,Deaths - Alcohol use disorders - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 560 3 25 1,,,1590,12900,\N,0,\N
58608,Deaths - Alcohol use disorders - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 560 3 26 1,,,1590,12900,\N,0,\N
58610,Deaths - Alcohol use disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 560 3 27 3,,,1590,12900,\N,0,\N
58613,Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 561 3 22 1,,,1591,12901,\N,0,\N
58617,Deaths - Drug use disorders - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 561 3 24 1,,,1591,12901,\N,0,\N
58619,Deaths - Drug use disorders - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 561 3 25 1,,,1591,12901,\N,0,\N
58621,Deaths - Drug use disorders - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:53,1 561 3 26 1,,,1591,12901,\N,0,\N
58623,Deaths - Drug use disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:54,1 561 3 27 3,,,1591,12901,\N,0,\N
58636,Deaths - Opioid use disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:54,1 562 3 27 3,,,1592,12902,\N,0,\N
58778,Deaths - Malaria - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 1 1,,,1607,12917,\N,0,\N
58779,Deaths - Malaria - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 1 3,,,1607,12917,\N,0,\N
58780,Deaths - Malaria - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 22 1,,,1607,12917,\N,0,\N
58781,Deaths - Malaria - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 22 3,,,1607,12917,\N,0,\N
58782,Deaths - Malaria - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 23 1,,,1607,12917,\N,0,\N
58783,Deaths - Malaria - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 23 3,,,1607,12917,\N,0,\N
58784,Deaths - Malaria - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 24 1,,,1607,12917,\N,0,\N
58785,Deaths - Malaria - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 24 3,,,1607,12917,\N,0,\N
58786,Deaths - Malaria - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 25 1,,,1607,12917,\N,0,\N
58787,Deaths - Malaria - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 25 3,,,1607,12917,\N,0,\N
58788,Deaths - Malaria - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 26 1,,,1607,12917,\N,0,\N
58789,Deaths - Malaria - Sex: Both - Age: 70+ years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 26 3,,,1607,12917,\N,0,\N
58790,Deaths - Malaria - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:50,1 345 3 27 3,,,1607,12917,\N,0,\N
58889,Deaths - Yellow fever - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:49,1 358 3 22 1,,,1616,12926,\N,0,\N
58902,Deaths - Rabies - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:40,1 359 3 22 1,,,1617,12927,\N,0,\N
58961,Deaths - Maternal hemorrhage - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:42,1 367 3 22 1,,,1622,12932,\N,0,\N
58970,Deaths - Maternal sepsis and other maternal infections - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:43,1 368 3 22 1,,,1623,12933,\N,0,\N
58979,Deaths - Maternal hypertensive disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:43,1 369 3 22 1,,,1624,12934,\N,0,\N
58988,Deaths - Maternal obstructed labor and uterine rupture - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:43,1 370 3 22 1,,,1625,12935,\N,0,\N
59006,Deaths - Indirect maternal deaths - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:44,1 375 3 22 1,,,1627,12937,\N,0,\N
59015,Deaths - Late maternal deaths - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:44,1 376 3 22 1,,,1628,12938,\N,0,\N
59024,Deaths - Other maternal disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:44,1 379 3 22 1,,,1629,12939,\N,0,\N
59034,Deaths - Neonatal disorders - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:45,1 380 3 1 3,,,1630,12940,\N,0,\N
59038,Deaths - Neonatal preterm birth complications - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:45,1 381 3 1 1,,,1631,12941,\N,0,\N
59039,Deaths - Neonatal preterm birth complications - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:45,1 381 3 1 3,,,1631,12941,\N,0,\N
59043,Deaths - Neonatal encephalopathy due to birth asphyxia and trauma - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:45,1 382 3 1 1,,,1632,12942,\N,0,\N
59044,Deaths - Neonatal encephalopathy due to birth asphyxia and trauma - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:45,1 382 3 1 3,,,1632,12942,\N,0,\N
59048,Deaths - Neonatal sepsis and other neonatal infections - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:45,1 383 3 1 1,,,1522,12832,\N,0,\N
59058,Deaths - Other neonatal disorders - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:45,1 385 3 1 1,,,1524,12834,\N,0,\N
59059,Deaths - Other neonatal disorders - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:45,1 385 3 1 3,,,1524,12834,\N,0,\N
59063,Deaths - Nutritional deficiencies - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:56,1 386 3 1 1,,,1525,12835,\N,0,\N
59064,Deaths - Nutritional deficiencies - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 1:56,1 386 3 1 3,,,1525,12835,\N,0,\N
59077,Deaths - Diabetes mellitus - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:52,1 587 3 1 1,,,1634,12944,\N,0,\N
59078,Deaths - Diabetes mellitus - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:52,1 587 3 1 3,,,1634,12944,\N,0,\N
59081,Deaths - Diabetes mellitus - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:52,1 587 3 23 1,,,1634,12944,\N,0,\N
59083,Deaths - Diabetes mellitus - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:52,1 587 3 24 1,,,1634,12944,\N,0,\N
59087,Deaths - Diabetes mellitus - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:52,1 587 3 26 1,,,1634,12944,\N,0,\N
59103,Deaths - Chronic kidney disease - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:20,1 589 3 1 1,,,1636,12946,\N,0,\N
59107,Deaths - Chronic kidney disease - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:20,1 589 3 23 1,,,1636,12946,\N,0,\N
59109,Deaths - Chronic kidney disease - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:20,1 589 3 24 1,,,1636,12946,\N,0,\N
59111,Deaths - Chronic kidney disease - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:20,1 589 3 25 1,,,1636,12946,\N,0,\N
59113,Deaths - Chronic kidney disease - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:21,1 589 3 26 1,,,1636,12946,\N,0,\N
59219,Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 22 3,,,1429,12739,\N,0,\N
59220,Deaths - Chronic respiratory diseases - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 23 1,,,1429,12739,\N,0,\N
59221,Deaths - Chronic respiratory diseases - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 23 3,,,1429,12739,\N,0,\N
59222,Deaths - Chronic respiratory diseases - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 24 1,,,1429,12739,\N,0,\N
59223,Deaths - Chronic respiratory diseases - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 24 3,,,1429,12739,\N,0,\N
59224,Deaths - Chronic respiratory diseases - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 25 1,,,1429,12739,\N,0,\N
59225,Deaths - Chronic respiratory diseases - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 25 3,,,1429,12739,\N,0,\N
59226,Deaths - Chronic respiratory diseases - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 26 1,,,1429,12739,\N,0,\N
59227,Deaths - Chronic respiratory diseases - Sex: Both - Age: 70+ years (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 26 3,,,1429,12739,\N,0,\N
59228,Deaths - Chronic respiratory diseases - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 2:15,1 508 3 27 3,,,1429,12739,\N,0,\N
59483,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:12,2 687 3 1 1,,,1538,12848,\N,0,\N
59485,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:12,2 687 3 22 1,,,1538,12848,\N,0,\N
59487,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:12,2 687 3 23 1,,,1538,12848,\N,0,\N
59489,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:12,2 687 3 24 1,,,1538,12848,\N,0,\N
59491,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:12,2 687 3 25 1,,,1538,12848,\N,0,\N
59493,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:12,2 687 3 26 1,,,1538,12848,\N,0,\N
59495,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:27,4/24/19 0:12,2 687 3 27 3,,,1538,12848,\N,0,\N
59498,DALYs (Disability-Adjusted Life Years) - Transport injuries - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:12,2 688 3 22 1,,,1539,12849,\N,0,\N
59511,DALYs (Disability-Adjusted Life Years) - Road injuries - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:13,2 689 3 22 1,,,1540,12850,\N,0,\N
59589,DALYs (Disability-Adjusted Life Years) - Other transport injuries - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:53,2 695 3 22 1,,,1574,12884,\N,0,\N
59602,DALYs (Disability-Adjusted Life Years) - Unintentional injuries - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:54,2 696 3 22 1,,,1575,12885,\N,0,\N
59615,DALYs (Disability-Adjusted Life Years) - Falls - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:55,2 697 3 22 1,,,1576,12886,\N,0,\N
59628,DALYs (Disability-Adjusted Life Years) - Drowning - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:55,2 698 3 22 1,,,1577,12887,\N,0,\N
59756,DALYs (Disability-Adjusted Life Years) - Maternal disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:16,2 366 3 22 1,,,1621,12931,\N,0,\N
59866,DALYs (Disability-Adjusted Life Years) - Neonatal disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 0:20,2 380 3 22 1,,,1630,12940,\N,0,\N
60120,DALYs (Disability-Adjusted Life Years) - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:27,4/24/19 1:05,2 729 3 22 1,,,1680,12990,\N,0,\N
60573,DALYs (Disability-Adjusted Life Years) - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:27,2 508 3 22 1,,,1429,12739,\N,0,\N
60658,DALYs (Disability-Adjusted Life Years) - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 0:30,2 521 3 22 1,,,1550,12860,\N,0,\N
60723,DALYs (Disability-Adjusted Life Years) - Digestive diseases - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 0:33,2 526 3 22 1,,,1555,12865,\N,0,\N
60829,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:54,1 945 3 22 1,,,1455,12765,\N,0,\N
60830,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:54,1 945 3 22 3,,,1455,12765,\N,0,\N
60843,Deaths - Nutritional deficiencies - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:56,1 386 3 23 1,,,1525,12835,\N,0,\N
60845,Deaths - Nutritional deficiencies - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:56,1 386 3 24 1,,,1525,12835,\N,0,\N
60847,Deaths - Nutritional deficiencies - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:56,1 386 3 25 1,,,1525,12835,\N,0,\N
60849,Deaths - Nutritional deficiencies - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:56,1 386 3 26 1,,,1525,12835,\N,0,\N
60961,Deaths - Hepatitis - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:58,1 400 3 1 1,,,1711,13021,\N,0,\N
60962,Deaths - Hepatitis - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:58,1 400 3 1 3,,,1711,13021,\N,0,\N
60964,Deaths - Hepatitis - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:58,1 400 3 22 3,,,1711,13021,\N,0,\N
60965,Deaths - Hepatitis - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:58,1 400 3 23 1,,,1711,13021,\N,0,\N
60967,Deaths - Hepatitis - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 400 3 24 1,,,1711,13021,\N,0,\N
60969,Deaths - Hepatitis - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 400 3 25 1,,,1711,13021,\N,0,\N
60971,Deaths - Hepatitis - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 400 3 26 1,,,1711,13021,\N,0,\N
60989,Deaths - Hepatitis B - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:51,1 402 3 22 1,,,1713,13023,\N,0,\N
61013,Deaths - Non-communicable diseases - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 409 3 22 1,,,1580,12890,\N,0,\N
61014,Deaths - Non-communicable diseases - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 409 3 22 3,,,1580,12890,\N,0,\N
61023,Deaths - Non-communicable diseases - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 409 3 27 3,,,1580,12890,\N,0,\N
61024,Deaths - Neoplasms - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 1 1,,,1715,13025,\N,0,\N
61025,Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 1 3,,,1715,13025,\N,0,\N
61027,Deaths - Neoplasms - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 22 3,,,1715,13025,\N,0,\N
61028,Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 23 1,,,1715,13025,\N,0,\N
61029,Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 23 3,,,1715,13025,\N,0,\N
61030,Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 24 1,,,1715,13025,\N,0,\N
61031,Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 24 3,,,1715,13025,\N,0,\N
61032,Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 25 1,,,1715,13025,\N,0,\N
61033,Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 1:59,1 410 3 25 3,,,1715,13025,\N,0,\N
