"id","name","unit","description","createdAt","updatedAt","code","coverage","timespan","datasetId","sourceId","shortUnit","columnOrder","originalMetadata"
"57956","Deaths - Tuberculosis - Sex: Both - Age: All Ages (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:22","1 297 3 22 3","","","1466","12776",\N,"0",\N
"57957","Deaths - Tuberculosis - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:23","1 297 3 23 1","","","1466","12776",\N,"0",\N
"57958","Deaths - Tuberculosis - Sex: Both - Age: 5-14 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:24","1 297 3 23 3","","","1466","12776",\N,"0",\N
"57959","Deaths - Tuberculosis - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:25","1 297 3 24 1","","","1466","12776",\N,"0",\N
"57960","Deaths - Tuberculosis - Sex: Both - Age: 15-49 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:26","1 297 3 24 3","","","1466","12776",\N,"0",\N
"57961","Deaths - Tuberculosis - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:27","1 297 3 25 1","","","1466","12776",\N,"0",\N
"57962","Deaths - Tuberculosis - Sex: Both - Age: 50-69 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:29","1 297 3 25 3","","","1466","12776",\N,"0",\N
"57963","Deaths - Tuberculosis - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:30","1 297 3 26 1","","","1466","12776",\N,"0",\N
"57964","Deaths - Tuberculosis - Sex: Both - Age: 70+ years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:31","1 297 3 26 3","","","1466","12776",\N,"0",\N
"57965","Deaths - Tuberculosis - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:33","1 297 3 27 3","","","1466","12776",\N,"0",\N
"57966","Deaths - HIV/AIDS - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:34","1 298 3 1 1","","","1467","12777",\N,"0",\N
"57967","Deaths - HIV/AIDS - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:36","1 298 3 1 3","","","1467","12777",\N,"0",\N
"57968","Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:37","1 298 3 22 1","","","1467","12777",\N,"0",\N
"57969","Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:39","1 298 3 22 3","","","1467","12777",\N,"0",\N
"57970","Deaths - HIV/AIDS - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:40","1 298 3 23 1","","","1467","12777",\N,"0",\N
"57971","Deaths - HIV/AIDS - Sex: Both - Age: 5-14 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:41","1 298 3 23 3","","","1467","12777",\N,"0",\N
"57972","Deaths - HIV/AIDS - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:42","1 298 3 24 1","","","1467","12777",\N,"0",\N
"57973","Deaths - HIV/AIDS - Sex: Both - Age: 15-49 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:44","1 298 3 24 3","","","1467","12777",\N,"0",\N
"57974","Deaths - HIV/AIDS - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:45","1 298 3 25 1","","","1467","12777",\N,"0",\N
"57975","Deaths - HIV/AIDS - Sex: Both - Age: 50-69 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:46","1 298 3 25 3","","","1467","12777",\N,"0",\N
"57976","Deaths - HIV/AIDS - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:47","1 298 3 26 1","","","1467","12777",\N,"0",\N
"57977","Deaths - HIV/AIDS - Sex: Both - Age: 70+ years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:50","1 298 3 26 3","","","1467","12777",\N,"0",\N
"57978","Deaths - HIV/AIDS - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:23:50","1 298 3 27 3","","","1467","12777",\N,"0",\N
"57981","Deaths - HIV/AIDS resulting in other diseases - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:23:54","1 300 3 22 1","","","1468","12778",\N,"0",\N
"58005","Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:24:08","1 302 3 1 1","","","1470","12780",\N,"0",\N
"58006","Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:24:10","1 302 3 1 3","","","1470","12780",\N,"0",\N
"58008","Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:24:12","1 302 3 22 3","","","1470","12780",\N,"0",\N
"58009","Deaths - Diarrheal diseases - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:24:13","1 302 3 23 1","","","1470","12780",\N,"0",\N
"58010","Deaths - Diarrheal diseases - Sex: Both - Age: 5-14 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:24:14","1 302 3 23 3","","","1470","12780",\N,"0",\N
"58011","Deaths - Diarrheal diseases - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:24:15","1 302 3 24 1","","","1470","12780",\N,"0",\N
"58012","Deaths - Diarrheal diseases - Sex: Both - Age: 15-49 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:24:18","1 302 3 24 3","","","1470","12780",\N,"0",\N
"58013","Deaths - Diarrheal diseases - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:24:20","1 302 3 25 1","","","1470","12780",\N,"0",\N
"58014","Deaths - Diarrheal diseases - Sex: Both - Age: 50-69 years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:24:22","1 302 3 25 3","","","1470","12780",\N,"0",\N
"58015","Deaths - Diarrheal diseases - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:24:23","1 302 3 26 1","","","1470","12780",\N,"0",\N
"58016","Deaths - Diarrheal diseases - Sex: Both - Age: 70+ years (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:24:25","1 302 3 26 3","","","1470","12780",\N,"0",\N
"58017","Deaths - Diarrheal diseases - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:24:26","1 302 3 27 3","","","1470","12780",\N,"0",\N
"58070","Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:25:27","1 322 3 1 1","","","1480","12790",\N,"0",\N
"58071","Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-23 23:25:29","1 322 3 1 3","","","1480","12790",\N,"0",\N
"58072","Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:25:30","1 322 3 22 1","","","1480","12790",\N,"0",\N
"58074","Deaths - Lower respiratory infections - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:25:34","1 322 3 23 1","","","1480","12790",\N,"0",\N
"58076","Deaths - Lower respiratory infections - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:25:36","1 322 3 24 1","","","1480","12790",\N,"0",\N
"58078","Deaths - Lower respiratory infections - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:25:42","1 322 3 25 1","","","1480","12790",\N,"0",\N
"58080","Deaths - Lower respiratory infections - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-23 23:25:45","1 322 3 26 1","","","1480","12790",\N,"0",\N
"58109","Deaths - Meningitis - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-24 02:43:16","1 332 3 1 1","","","1483","12793",\N,"0",\N
"58110","Deaths - Meningitis - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-24 02:43:18","1 332 3 1 3","","","1483","12793",\N,"0",\N
"58111","Deaths - Meningitis - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-24 02:43:18","1 332 3 22 1","","","1483","12793",\N,"0",\N
"58137","Deaths - H influenzae type B meningitis - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-24 02:43:51","1 334 3 22 1","","","1485","12795",\N,"0",\N
"58150","Deaths - Meningococcal meningitis - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-24 02:44:07","1 335 3 22 1","","","1486","12796",\N,"0",\N
"58189","Deaths - Diphtheria - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-24 02:44:52","1 338 3 22 1","","","1566","12876",\N,"0",\N
"58198","Deaths - Whooping cough - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-24 02:45:03","1 339 3 1 1","","","1567","12877",\N,"0",\N
"58199","Deaths - Whooping cough - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:53","2019-04-24 02:45:04","1 339 3 1 3","","","1567","12877",\N,"0",\N
"58200","Deaths - Whooping cough - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:53","2019-04-24 02:45:05","1 339 3 22 1","","","1567","12877",\N,"0",\N
"58222","Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:11:03","1 641 3 1 1","","","1433","12743",\N,"0",\N
"58223","Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 02:11:06","1 641 3 1 3","","","1433","12743",\N,"0",\N
"58393","Deaths - Motor vehicle road injuries - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-23 23:26:33","1 693 3 22 1","","","1572","12882",\N,"0",\N
"58406","Deaths - Other road injuries - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 01:35:40","1 694 3 22 1","","","1573","12883",\N,"0",\N
"58456","Deaths - Drowning - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 01:37:08","1 698 3 1 1","","","1577","12887",\N,"0",\N
"58457","Deaths - Drowning - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 01:37:11","1 698 3 1 3","","","1577","12887",\N,"0",\N
"58459","Deaths - Drowning - Sex: Both - Age: All Ages (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 01:37:15","1 698 3 22 3","","","1577","12887",\N,"0",\N
"58460","Deaths - Drowning - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 01:37:16","1 698 3 23 1","","","1577","12887",\N,"0",\N
"58461","Deaths - Drowning - Sex: Both - Age: 5-14 years (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 01:37:19","1 698 3 23 3","","","1577","12887",\N,"0",\N
"58462","Deaths - Drowning - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 01:37:20","1 698 3 24 1","","","1577","12887",\N,"0",\N
"58463","Deaths - Drowning - Sex: Both - Age: 15-49 years (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 01:37:23","1 698 3 24 3","","","1577","12887",\N,"0",\N
"58464","Deaths - Drowning - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 01:37:24","1 698 3 25 1","","","1577","12887",\N,"0",\N
"58465","Deaths - Drowning - Sex: Both - Age: 50-69 years (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 01:37:27","1 698 3 25 3","","","1577","12887",\N,"0",\N
"58466","Deaths - Drowning - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 01:37:28","1 698 3 26 1","","","1577","12887",\N,"0",\N
"58492","Deaths - Non-communicable diseases - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 01:59:29","1 409 3 1 3","","","1580","12890",\N,"0",\N
"58493","Deaths - Tetanus - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:45:19","1 340 3 22 1","","","1568","12878",\N,"0",\N
"58503","Deaths - Tetanus - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 02:45:30","1 340 3 27 3","","","1568","12878",\N,"0",\N
"58504","Deaths - Measles - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:45:31","1 341 3 1 1","","","1581","12891",\N,"0",\N
"58505","Deaths - Measles - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 02:45:32","1 341 3 1 3","","","1581","12891",\N,"0",\N
"58506","Deaths - Measles - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:45:33","1 341 3 22 1","","","1581","12891",\N,"0",\N
"58521","Deaths - Alzheimer disease and other dementias - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:47:32","1 543 3 24 1","","","1583","12893",\N,"0",\N
"58523","Deaths - Alzheimer disease and other dementias - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:47:34","1 543 3 25 1","","","1583","12893",\N,"0",\N
"58525","Deaths - Alzheimer disease and other dementias - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:47:36","1 543 3 26 1","","","1583","12893",\N,"0",\N
"58527","Deaths - Alzheimer disease and other dementias - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:54","2019-04-24 02:47:38","1 543 3 27 3","","","1583","12893",\N,"0",\N
"58534","Deaths - Parkinson disease - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:47:41","1 544 3 24 1","","","1584","12894",\N,"0",\N
"58536","Deaths - Parkinson disease - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:47:43","1 544 3 25 1","","","1584","12894",\N,"0",\N
"58538","Deaths - Parkinson disease - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:54","2019-04-24 02:47:45","1 544 3 26 1","","","1584","12894",\N,"0",\N
"58591","Deaths - Mental and substance use disorders - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:28","1 558 3 22 1","","","1589","12899",\N,"0",\N
"58592","Deaths - Mental and substance use disorders - Sex: Both - Age: All Ages (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:53:30","1 558 3 22 3","","","1589","12899",\N,"0",\N
"58594","Deaths - Mental and substance use disorders - Sex: Both - Age: 5-14 years (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:53:33","1 558 3 23 3","","","1589","12899",\N,"0",\N
"58596","Deaths - Mental and substance use disorders - Sex: Both - Age: 15-49 years (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:53:36","1 558 3 24 3","","","1589","12899",\N,"0",\N
"58601","Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:53:36","1 558 3 27 3","","","1589","12899",\N,"0",\N
"58602","Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:37","1 560 3 22 1","","","1590","12900",\N,"0",\N
"58604","Deaths - Alcohol use disorders - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:40","1 560 3 24 1","","","1590","12900",\N,"0",\N
"58606","Deaths - Alcohol use disorders - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:42","1 560 3 25 1","","","1590","12900",\N,"0",\N
"58608","Deaths - Alcohol use disorders - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:44","1 560 3 26 1","","","1590","12900",\N,"0",\N
"58610","Deaths - Alcohol use disorders - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:53:46","1 560 3 27 3","","","1590","12900",\N,"0",\N
"58613","Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:49","1 561 3 22 1","","","1591","12901",\N,"0",\N
"58617","Deaths - Drug use disorders - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:53","1 561 3 24 1","","","1591","12901",\N,"0",\N
"58619","Deaths - Drug use disorders - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:56","1 561 3 25 1","","","1591","12901",\N,"0",\N
"58621","Deaths - Drug use disorders - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:53:58","1 561 3 26 1","","","1591","12901",\N,"0",\N
"58623","Deaths - Drug use disorders - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:54:01","1 561 3 27 3","","","1591","12901",\N,"0",\N
"58636","Deaths - Opioid use disorders - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:54:20","1 562 3 27 3","","","1592","12902",\N,"0",\N
"58778","Deaths - Malaria - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:50:29","1 345 3 1 1","","","1607","12917",\N,"0",\N
"58779","Deaths - Malaria - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:50:30","1 345 3 1 3","","","1607","12917",\N,"0",\N
"58780","Deaths - Malaria - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:50:31","1 345 3 22 1","","","1607","12917",\N,"0",\N
"58781","Deaths - Malaria - Sex: Both - Age: All Ages (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:50:34","1 345 3 22 3","","","1607","12917",\N,"0",\N
"58782","Deaths - Malaria - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:50:35","1 345 3 23 1","","","1607","12917",\N,"0",\N
"58783","Deaths - Malaria - Sex: Both - Age: 5-14 years (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:50:37","1 345 3 23 3","","","1607","12917",\N,"0",\N
"58784","Deaths - Malaria - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:50:38","1 345 3 24 1","","","1607","12917",\N,"0",\N
"58785","Deaths - Malaria - Sex: Both - Age: 15-49 years (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:50:40","1 345 3 24 3","","","1607","12917",\N,"0",\N
"58786","Deaths - Malaria - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:50:41","1 345 3 25 1","","","1607","12917",\N,"0",\N
"58787","Deaths - Malaria - Sex: Both - Age: 50-69 years (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:50:43","1 345 3 25 3","","","1607","12917",\N,"0",\N
"58788","Deaths - Malaria - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:50:44","1 345 3 26 1","","","1607","12917",\N,"0",\N
"58789","Deaths - Malaria - Sex: Both - Age: 70+ years (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:50:46","1 345 3 26 3","","","1607","12917",\N,"0",\N
"58790","Deaths - Malaria - Sex: Both - Age: Age-standardized (Rate)","Rate",\N,"2017-11-20 15:27:55","2019-04-24 02:50:47","1 345 3 27 3","","","1607","12917",\N,"0",\N
"58889","Deaths - Yellow fever - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 02:49:31","1 358 3 22 1","","","1616","12926",\N,"0",\N
"58902","Deaths - Rabies - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:55","2019-04-24 01:40:55","1 359 3 22 1","","","1617","12927",\N,"0",\N
"58961","Deaths - Maternal hemorrhage - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:42:57","1 367 3 22 1","","","1622","12932",\N,"0",\N
"58970","Deaths - Maternal sepsis and other maternal infections - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:43:15","1 368 3 22 1","","","1623","12933",\N,"0",\N
"58979","Deaths - Maternal hypertensive disorders - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:43:38","1 369 3 22 1","","","1624","12934",\N,"0",\N
"58988","Deaths - Maternal obstructed labor and uterine rupture - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:43:54","1 370 3 22 1","","","1625","12935",\N,"0",\N
"59006","Deaths - Indirect maternal deaths - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:44:12","1 375 3 22 1","","","1627","12937",\N,"0",\N
"59015","Deaths - Late maternal deaths - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:44:26","1 376 3 22 1","","","1628","12938",\N,"0",\N
"59024","Deaths - Other maternal disorders - Sex: Both - Age: All Ages (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:44:46","1 379 3 22 1","","","1629","12939",\N,"0",\N
"59034","Deaths - Neonatal disorders - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:56","2019-04-24 01:45:05","1 380 3 1 3","","","1630","12940",\N,"0",\N
"59038","Deaths - Neonatal preterm birth complications - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:45:14","1 381 3 1 1","","","1631","12941",\N,"0",\N
"59039","Deaths - Neonatal preterm birth complications - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:56","2019-04-24 01:45:17","1 381 3 1 3","","","1631","12941",\N,"0",\N
"59043","Deaths - Neonatal encephalopathy due to birth asphyxia and trauma - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:45:27","1 382 3 1 1","","","1632","12942",\N,"0",\N
"59044","Deaths - Neonatal encephalopathy due to birth asphyxia and trauma - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:56","2019-04-24 01:45:30","1 382 3 1 3","","","1632","12942",\N,"0",\N
"59048","Deaths - Neonatal sepsis and other neonatal infections - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:45:35","1 383 3 1 1","","","1522","12832",\N,"0",\N
"59058","Deaths - Other neonatal disorders - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:45:55","1 385 3 1 1","","","1524","12834",\N,"0",\N
"59059","Deaths - Other neonatal disorders - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:56","2019-04-24 01:45:57","1 385 3 1 3","","","1524","12834",\N,"0",\N
"59063","Deaths - Nutritional deficiencies - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 01:56:37","1 386 3 1 1","","","1525","12835",\N,"0",\N
"59064","Deaths - Nutritional deficiencies - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:56","2019-04-24 01:56:38","1 386 3 1 3","","","1525","12835",\N,"0",\N
"59077","Deaths - Diabetes mellitus - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:52:39","1 587 3 1 1","","","1634","12944",\N,"0",\N
"59078","Deaths - Diabetes mellitus - Sex: Both - Age: Under 5 (Rate)","Rate",\N,"2017-11-20 15:27:56","2019-04-24 02:52:41","1 587 3 1 3","","","1634","12944",\N,"0",\N
"59081","Deaths - Diabetes mellitus - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:52:44","1 587 3 23 1","","","1634","12944",\N,"0",\N
"59083","Deaths - Diabetes mellitus - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:52:47","1 587 3 24 1","","","1634","12944",\N,"0",\N
"59087","Deaths - Diabetes mellitus - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:52:54","1 587 3 26 1","","","1634","12944",\N,"0",\N
"59103","Deaths - Chronic kidney disease - Sex: Both - Age: Under 5 (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:20:47","1 589 3 1 1","","","1636","12946",\N,"0",\N
"59107","Deaths - Chronic kidney disease - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:20:51","1 589 3 23 1","","","1636","12946",\N,"0",\N
"59109","Deaths - Chronic kidney disease - Sex: Both - Age: 15-49 years (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:20:54","1 589 3 24 1","","","1636","12946",\N,"0",\N
"59111","Deaths - Chronic kidney disease - Sex: Both - Age: 50-69 years (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:20:57","1 589 3 25 1","","","1636","12946",\N,"0",\N
"59113","Deaths - Chronic kidney disease - Sex: Both - Age: 70+ years (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:21:00","1 589 3 26 1","","","1636","12946",\N,"0",\N
"59219","Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Rate)","Rate",\N,"2017-11-20 15:27:56","2019-04-24 02:15:47","1 508 3 22 3","","","1429","12739",\N,"0",\N
"59220","Deaths - Chronic respiratory diseases - Sex: Both - Age: 5-14 years (Number)","Number",\N,"2017-11-20 15:27:56","2019-04-24 02:15:47","1 508 3 23 1","","","1429","12739",\N,"0",\N
"59221","Deaths - Chronic respiratory diseases - Sex: Both - Age: 5-14 years (Rate)","Rate",\N,"2017-11-20 15:27:56","2019-04-24 02:15:49","1 508 3 23 3","","","1429","12739",\N,"0",\N
